id,text_snippet,predicted_label_id,prediction_name
0,2069316...,1,Gastroenterology
1,6967959...,1,Gastroenterology
2,3492721...,1,Gastroenterology
3,8388738...,4,Dermatology
4,6234238...,7,Endocrinology
5,3874752...,12,Otolaryngology
6,13253027...,1,Gastroenterology
7,8512090...,12,Otolaryngology
8,3967251...,12,Otolaryngology
9,3262191...,14,Gynecology
10,1052303...,1,Gastroenterology
11,2419145...,12,Otolaryngology
12,12250182...,7,Endocrinology
13,15391307...,1,Gastroenterology
14,13339820...,7,Endocrinology
15,2731895...,12,Otolaryngology
16,13860058...,12,Otolaryngology
17,13962623...,7,Endocrinology
18,15000522...,1,Gastroenterology
19,6642105...,5,Orthopedics
20,7525370...,7,Endocrinology
21,6425169...,12,Otolaryngology
22,12171387...,1,Gastroenterology
23,7770253...,1,Gastroenterology
24,3245452...,12,Otolaryngology
25,11038275...,12,Otolaryngology
26,1081195...,7,Endocrinology
27,1049823...,1,Gastroenterology
28,4462378...,12,Otolaryngology
29,15725373...,7,Endocrinology
30,15538664...,5,Orthopedics
31,8921471...,12,Otolaryngology
32,7595636...,16,Rheumatology
33,16063470...,5,Orthopedics
34,7550821...,1,Gastroenterology
35,1877756...,5,Orthopedics
36,12164703...,1,Gastroenterology
37,5447636...,1,Gastroenterology
38,15995653...,5,Orthopedics
39,3357306...,12,Otolaryngology
40,8969613...,16,Rheumatology
41,3433289...,12,Otolaryngology
42,1673357...,1,Gastroenterology
43,11208971...,14,Gynecology
44,4246550...,12,Otolaryngology
45,6132333...,7,Endocrinology
46,3900234...,14,Gynecology
47,10383446...,7,Endocrinology
48,13395366...,16,Rheumatology
49,6588826...,1,Gastroenterology
50,6658395...,12,Otolaryngology
51,12479069...,1,Gastroenterology
52,13042040...,1,Gastroenterology
53,4859396...,1,Gastroenterology
54,310569...,12,Otolaryngology
55,10750471...,1,Gastroenterology
56,9651963...,1,Gastroenterology
57,4791363...,1,Gastroenterology
58,3268582...,1,Gastroenterology
59,2164214...,1,Gastroenterology
60,3106114...,1,Gastroenterology
61,3498940...,12,Otolaryngology
62,2624976...,1,Gastroenterology
63,13947286...,12,Otolaryngology
64,8941177...,12,Otolaryngology
65,5372006...,7,Endocrinology
66,12997615...,5,Orthopedics
67,7027201...,1,Gastroenterology
68,2776729...,1,Gastroenterology
69,8907055...,12,Otolaryngology
70,163259...,14,Gynecology
71,11661569...,7,Endocrinology
72,9247869...,1,Gastroenterology
73,11506154...,1,Gastroenterology
74,1632724...,1,Gastroenterology
75,13539380...,12,Otolaryngology
76,5312491...,1,Gastroenterology
77,4867137...,1,Gastroenterology
78,12221526...,1,Gastroenterology
79,7135742...,12,Otolaryngology
80,9904605...,4,Dermatology
81,3802358...,12,Otolaryngology
82,875554...,12,Otolaryngology
83,13704390...,12,Otolaryngology
84,4337701...,1,Gastroenterology
85,8466503...,14,Gynecology
86,990227...,1,Gastroenterology
87,9534982...,7,Endocrinology
88,15557858...,5,Orthopedics
89,14148854...,5,Orthopedics
90,6469947...,1,Gastroenterology
91,773019...,12,Otolaryngology
92,6112916...,1,Gastroenterology
93,15214364...,5,Orthopedics
94,5804201...,12,Otolaryngology
